Category,URL,brand,name,price,skin_type,skin_concern,rating
cleanser-and-exfoliator,https://www.sephora.my/products/sephora-collection-original-cleansing-face-wipes/v/watermelon,SEPHORA COLLECTION,Original Cleansing Face Wipes • 25 wipes,RM29.00,"Skin Type: Combination, Dry, Normal, Oily, Sensitive","Dryness, Uneven Skin Texture",4
cleanser-and-exfoliator,https://www.sephora.my/products/sephora-collection-cleansing-face-wipes-mini/v/watermelon,SEPHORA COLLECTION,Cleansing Face Wipes (Mini),RM16.00,"Skin Type: Combination, Dry, Normal, Oily, Sensitive","Dryness, Uneven Skin Texture",4
cleanser-and-exfoliator,https://www.sephora.my/products/clinique-clarifying-lotion-2-dry-combination-skin/v/200-ml,CLINIQUE,Clarifying Lotion 2 - Dry Combination Skin,RM100.00,"Skin Type: Combination, Dry, Normal, Oily, Sensitive","Dryness, Dullness, Fine Lines & Wrinkles, Oiliness",4.5
cleanser-and-exfoliator,https://www.sephora.my/products/philosophy-purity-made-simple-one-step-facial-cleanser,PHILOSOPHY,Purity Made Simple One-Step Facial Cleanser,RM97.00,"Skin Type: Combination, Dry, Normal, Oily, Sensitive","Dryness, Uneven Skin Tone, Visible Pores",4.5
cleanser-and-exfoliator,https://www.sephora.my/products/indie-lee-brightening-cleanser/v/default,INDIE LEE,Brightening Cleanser,RM143.00,"Skin Type: Combination, Dry, Normal, Oily, Sensitive","Ageing, Dryness, Dullness, Pigmentation & Dark Spots, Uneven Skin Texture, Uneven Skin Tone, Visible Pores",4.5
cleanser-and-exfoliator,https://www.sephora.my/products/kopari-tropical-glow-cleanser,KOPARI,Tropical Glow Cleanser • 133ml,RM127.00,"Skin Type: Combination, Dry, Normal, Oily","Dryness, Dullness",4
cleanser-and-exfoliator,https://www.sephora.my/products/clinique-clarifying-lotion-3-oily-combination-skin/v/200ml,CLINIQUE,Clarifying Lotion 3 - Combination Oily Skin,RM100.00,"Skin Type: Combination, Dry, Normal, Oily, Sensitive","Dryness, Dullness, Fine Lines & Wrinkles, Oiliness",4.5
cleanser-and-exfoliator,https://www.sephora.my/products/fenty-halftime-invisimatte-blotting-powder,"SEPHORA EXCLUSIVE
FENTY BEAUTY",Invisimatte Blotting Powder • 8.5g - Universal,RM122.00,"Skin Type: Combination, Normal, Oily",,4.5
cleanser-and-exfoliator,https://www.sephora.my/products/laneige-multi-deep-clean-cleanser-c6034a49-dee0-4b2f-a512-759e681c582e,LANEIGE,Multi Deep Clean Cleanser • 50ml,RM100.00,"Skin Type: Combination, Dry, Normal, Oily, Sensitive",Dullness,5
cleanser-and-exfoliator,https://www.sephora.my/products/caudalie-gentle-cleansing-milk,CAUDALIE,Gentle Cleansing Milk,RM99.00,"Skin Type: Combination, Dry, Normal, Oily, Sensitive",Dullness,4
cleanser-and-exfoliator,https://www.sephora.my/products/origins-checks-and-balances-frothy-face-wash-combi-skin,ORIGINS,Checks and Balances™ Frothy Face Wash,RM115.00,"Skin Type: Combination, Dry, Normal, Oily","Dryness, Oiliness",4.5
cleanser-and-exfoliator,https://www.sephora.my/products/caudalie-vinopure-purifying-gel-cleanser,CAUDALIE,Vinopure Purifying Gel Cleanser • 150ml,RM99.00,"Skin Type: Combination, Dry, Normal, Oily","Acne & Blemishes, Dullness, Oiliness",4.5
cleanser-and-exfoliator,https://www.sephora.my/products/fresh-sugar-strawberry-exfoliating-face-wash/v/125ml,FRESH,Sugar Strawberry Exfoliating Face Wash,RM158.00,"Skin Type: Combination, Dry, Normal, Oily, Sensitive","Dryness, Dullness, Uneven Skin Texture, Uneven Skin Tone, Visible Pores",4
cleanser-and-exfoliator,https://www.sephora.my/products/origins-detox-with-delight-cleansing-purifying-and-spot-fighting-skincare-trio-limited-edition,ORIGINS,"Detox With Delight Cleansing, Purifying & Spot-Fighting Skincare Trio (Limited Edition)",RM95.00,"Skin Type: Combination, Dry, Normal, Oily","Skin Concerns: Acne & Blemishes, Dullness, Oiliness",0
cleanser-and-exfoliator,https://www.sephora.my/products/farmacy-green-clean-makeup-meltaway-cleansing-balm,FARMACY,Green Clean Makeup Meltaway Cleansing Balm • 100ml,RM158.00,"Skin Type: Combination, Dry, Normal, Oily",Dryness,4.5
cleanser-and-exfoliator,https://www.sephora.my/products/estee-lauder-perfectly-clean-multi-action-foam-cleanser-slash-purifying-mask/v/150ml,ESTÉE LAUDER,Perfectly Clean Multi-Action Foam Cleanser/Purifying Mask,RM160.00,"Skin Type: Combination, Dry, Normal, Oily",Dullness,4.5
cleanser-and-exfoliator,https://www.sephora.my/products/sephora-collection-mini-cleansing-face-wipes/v/coconut,SEPHORA COLLECTION,Mini Cleansing Face Wipes • 10 wipes,RM18.00,"Skin Type: Combination, Dry, Normal, Oily, Sensitive","Dryness, Dullness",0
cleanser-and-exfoliator,https://www.sephora.my/products/clinique-liquid-facial-soap-oily-skin-200ml,CLINIQUE,Liquid Facial Soap (Oily Skin),RM100.00,"Skin Type: Combination, Oily",Dryness,4
cleanser-and-exfoliator,https://www.sephora.my/products/pixi-overnight-glow-serum,PIXI,Overnight Glow Serum,RM120.00,"Skin Type: Combination, Dry, Normal, Oily","Dullness, Uneven Skin Tone",4
cleanser-and-exfoliator,https://www.sephora.my/products/first-aid-beauty-face-cleanser/v/226g,FIRST AID BEAUTY,Face Cleanser,RM160.00,"Skin Type: Combination, Dry, Normal, Oily, Sensitive",,4.5
cleanser-and-exfoliator,https://www.sephora.my/products/sephora-collection-clean-skin-gel,SEPHORA COLLECTION,Clean Skin Gel • 125ml,RM55.00,"Skin Type: Combination, Dry, Normal, Oily",Dryness,4
cleanser-and-exfoliator,https://www.sephora.my/products/fresh-soy-face-cleansing-milk-200ml,FRESH,Soy Face Cleansing Milk 200ml,RM177.00,"Skin Type: Combination, Dry, Normal, Oily, Sensitive","Ageing, Dryness, Firmness & Elasticity",4
cleanser-and-exfoliator,https://www.sephora.my/products/sephora-collection-original-exfoliating-face-wipes/v/grapefruit,SEPHORA COLLECTION,Original Exfoliating Face Wipes,RM29.00,"Skin Type: Combination, Dry, Normal, Oily","Dullness, Uneven Skin Tone",4.5
cleanser-and-exfoliator,https://www.sephora.my/products/burts-bees-sensitive-facial-cleansing-towelettes,BURT'S BEES,Sensitive Facial Cleansing Towelettes,RM53.00,Skin Type: Sensitive,Oiliness,3
cleanser-and-exfoliator,https://www.sephora.my/products/fresh-sugar-face-polish/v/30ml,FRESH,Sugar Face Polish,RM107.00,"Skin Type: Combination, Dry, Normal, Oily, Sensitive","Dryness, Dullness, Uneven Skin Texture",4.5
cleanser-and-exfoliator,https://www.sephora.my/products/indie-lee-purifying-face-wash/v/125ml,INDIE LEE,Purifying Face Wash,RM143.00,"Skin Type: Combination, Dry, Normal, Oily, Sensitive","Acne & Blemishes, Oiliness, Uneven Skin Tone",4.5
cleanser-and-exfoliator,https://www.sephora.my/products/bobbi-brown-soothing-cleansing-oil,,,,,,0
cleanser-and-exfoliator,https://www.sephora.my/products/caudalie-moisturizing-toning-lotion/v/200ml,CAUDALIE,Moisturizing Toning Lotion,RM99.00,"Skin Type: Combination, Dry, Normal, Oily, Sensitive",Dryness,4
cleanser-and-exfoliator,https://www.sephora.my/products/estee-lauder-advanced-night-micro-cleansing-foam/v/100ml,ESTÉE LAUDER,Advanced Night Micro Cleansing Foam,RM160.00,"Skin Type: Combination, Dry, Normal, Oily, Sensitive",,4
cleanser-and-exfoliator,https://www.sephora.my/products/tatcha-the-deep-cleanse/v/150ml,TATCHA,The Deep Cleanse,RM170.00,"Skin Type: Combination, Dry, Normal, Oily, Sensitive","Dullness, Oiliness, Uneven Skin Texture, Visible Pores",4
cleanser-and-exfoliator,https://www.sephora.my/products/drunk-elephant-beste-no-9-jelly-cleanser,"SEPHORA EXCLUSIVE
DRUNK ELEPHANT",Beste™ No. 9 Jelly Cleanser,RM138.00,"Skin Type: Combination, Dry, Normal, Oily, Sensitive",Dryness,4
cleanser-and-exfoliator,https://www.sephora.my/products/fresh-rose-cleansing-foam,FRESH,Rose Cleansing Foam,RM133.00,"Skin Type: Combination, Dry, Normal, Oily, Sensitive","Ageing, Dryness, Dullness, Firmness & Elasticity, Uneven Skin Texture",4
cleanser-and-exfoliator,https://www.sephora.my/products/origins-ginzing-refreshing-scrub-cleanser,ORIGINS,GinZing™ Refreshing Scrub Cleanser • 150ml,RM105.00,"Skin Type: Combination, Dry, Normal, Oily, Sensitive","Dullness, Uneven Skin Texture, Visible Pores",4.5
cleanser-and-exfoliator,https://www.sephora.my/products/burts-bees-skin-nourishment-gentle-facial-cleanser,BURT'S BEES,Skin Nourishment Gentle Facial Cleanser,RM88.00,"Skin Type: Combination, Dry, Normal, Oily",Dullness,2.5
cleanser-and-exfoliator,https://www.sephora.my/products/sephora-collection-gentle-eye-and-lip-makeup-remover/v/125ml,SEPHORA COLLECTION,Gentle Eye And Lip Makeup Remover,RM40.00,"Skin Type: Combination, Dry, Normal, Oily",Dryness,4
cleanser-and-exfoliator,https://www.sephora.my/products/wishful-bright-skincare-kit,WISHFUL,Bright Skincare Kit,RM230.00,"Skin Type: Combination, Dry, Normal, Oily, Sensitive","Acne & Blemishes, Dryness, Dullness, Uneven Skin Texture, Uneven Skin Tone, Visible Pores",0
cleanser-and-exfoliator,https://www.sephora.my/products/drunk-elephant-glowy-the-night-skincare-kit-limited-edition,DRUNK ELEPHANT,Glowy the Night Skincare Kit (Limited Edition),RM424.00,"Skin Type: Combination, Dry, Normal, Oily, Sensitive","Dryness, Dullness, Uneven Skin Texture",5
cleanser-and-exfoliator,https://www.sephora.my/products/sephora-collection-exfoliating-face-wipes-mini,SEPHORA COLLECTION,Exfoliating Face Wipes (Mini),RM16.00,"Skin Type: Combination, Dry, Normal, Oily, Sensitive","Uneven Skin Texture, Uneven Skin Tone",4
cleanser-and-exfoliator,https://www.sephora.my/products/sephora-collection-oil-blotting-papers,SEPHORA COLLECTION,Oil Blotting Papers,RM16.00,,,4
cleanser-and-exfoliator,https://www.sephora.my/products/frank-body-original-face-scrub/v/125ml,FRANK BODY,Original Face Scrub,RM100.00,"Skin Type: Combination, Dry, Normal, Oily, Sensitive","Ageing, Uneven Skin Texture, Uneven Skin Tone, Visible Pores",4.5
cleanser-and-exfoliator,https://www.sephora.my/products/wishful-wishful-glow-skincare-kit,WISHFUL,Wishful Glow Skincare Kit,RM85.00,"Skin Type: Combination, Dry, Normal, Oily, Sensitive","Acne & Blemishes, Dryness, Dullness, Uneven Skin Texture, Visible Pores",0
cleanser-and-exfoliator,https://www.sephora.my/products/estee-lauder-nutritious-super-pomegranate-radiant-energy-2-in-1-cleansing-foam/v/default,ESTÉE LAUDER,Nutritious Super-Pomegranate Radiant Energy 2-in-1 Cleansing Foam,RM155.00,"Skin Concerns: Dullness, Firmness & Elasticity",,4
cleanser-and-exfoliator,https://www.sephora.my/products/biossance-squalane-plus-antioxidant-cleansing-oil/v/200ml,BIOSSANCE,Squalane + Antioxidant Cleansing Oil,RM136.00,"Skin Type: Combination, Dry, Normal, Oily",Dryness,4
cleanser-and-exfoliator,https://www.sephora.my/products/drunk-elephant-dewy-the-polypeptide-skincare-kit,DRUNK ELEPHANT,Dewy the Polypeptide Skincare Kit,RM325.00,"Skin Type: Combination, Dry, Normal, Oily, Sensitive","Dryness, Dullness, Fine Lines & Wrinkles, Uneven Skin Texture",0
cleanser-and-exfoliator,https://www.sephora.my/products/first-aid-beauty-facial-radiance-pads/v/60,FIRST AID BEAUTY,Facial Radiance Pads,RM155.00,"Skin Type: Combination, Dry, Normal, Oily, Sensitive","Dullness, Uneven Skin Tone",4.5
cleanser-and-exfoliator,https://www.sephora.my/products/first-aid-beauty-skin-rescue-deep-cleanser-with-red-clay,FIRST AID BEAUTY,Skin Rescue Deep Cleanser With Red Clay • 134g,RM108.00,"Skin Type: Combination, Normal, Oily","Acne & Blemishes, Blackheads, Oiliness, Visible Pores",4.5
cleanser-and-exfoliator,https://www.sephora.my/products/pixi-glow-mud-cleanser,PIXI,Glow Mud Cleanser • 135ml,RM95.00,"Skin Type: Combination, Dry, Normal, Oily","Dullness, Visible Pores",4
cleanser-and-exfoliator,https://www.sephora.my/products/pixi-vitamin-c-juice-cleanser,PIXI,Vitamin-C Juice Cleanser,RM95.00,"Skin Type: Combination, Dry, Normal, Oily","Ageing, Dark Circles, Dryness, Dullness, Firmness & Elasticity",4.5
cleanser-and-exfoliator,https://www.sephora.my/products/sephora-collection-creamy-face-cleansing-scrub/v/charcoal,SEPHORA COLLECTION,Creamy Face Cleansing Scrub • 70ml,RM27.00,"Skin Type: Combination, Dry, Normal, Oily, Sensitive","Uneven Skin Texture, Uneven Skin Tone, Visible Pores",4
cleanser-and-exfoliator,https://www.sephora.my/products/sephora-collection-skin-n-seed-cleanser/v/lemon-seed,SEPHORA COLLECTION,Skin 'N Seed Cleanser • 150ml,RM58.00,"Skin Type: Combination, Dry, Normal, Oily, Sensitive","Dullness, Uneven Skin Tone",4
cleanser-and-exfoliator,https://www.sephora.my/products/mario-badescu-special-cleansing-lotion-o-236ml,MARIO BADESCU,"Special Cleansing Lotion ""O"" • 236ml",RM70.00,,,4
cleanser-and-exfoliator,https://www.sephora.my/products/dior-diorsnow-white-reveal-gentle-purifying-foam,DIOR,Diorsnow White Reveal Gentle Purifying Foam • 110ml,RM169.00,"Skin Type: Combination, Dry, Normal, Oily","Dryness, Dullness",5
cleanser-and-exfoliator,https://www.sephora.my/products/sephora-collection-exfoliating-face-wipe/v/charcoal-3378872138860,SEPHORA COLLECTION,Exfoliating Face Wipe • 20 wipes,RM32.00,"Skin Type: Combination, Dry, Normal, Oily","Dryness, Dullness, Uneven Skin Tone",5
cleanser-and-exfoliator,https://www.sephora.my/products/tatcha-the-rice-wash-cleanser,TATCHA,The Rice Wash Cleanser • 120ml,RM155.00,"Skin Type: Combination, Dry, Normal","Ageing, Dryness, Dullness, Uneven Skin Texture",4
cleanser-and-exfoliator,https://www.sephora.my/products/mario-badescu-enzyme-cleansing-gel/v/472ml,MARIO BADESCU,Enzyme Cleansing Gel,RM120.00,"Skin Type: Combination, Oily",Oiliness,4
cleanser-and-exfoliator,https://www.sephora.my/products/kate-somerville-eradikate-r-daily-foaming-cleanser,KATE SOMERVILLE,EradiKate® Daily Foaming Cleanser,RM175.00,"Skin Type: Combination, Normal, Oily","Acne & Blemishes, Oiliness, Visible Pores",4
cleanser-and-exfoliator,https://www.sephora.my/products/first-aid-beauty-facial-radiance-polish,FIRST AID BEAUTY,Facial Radiance Polish,RM113.00,"Skin Type: Combination, Dry, Normal, Oily, Sensitive","Dullness, Uneven Skin Texture",4
cleanser-and-exfoliator,https://www.sephora.my/products/sand-and-sky-australian-pink-clay-flash-perfection-exfoliating-treatment,SAND & SKY,Australian Pink Clay - Flash Perfection Exfoliating Treatment,RM165.00,"Skin Type: Combination, Dry, Normal, Oily, Sensitive","Acne & Blemishes, Dryness, Dullness, Oiliness",4
cleanser-and-exfoliator,https://www.sephora.my/products/wishful-yo-glow-enzyme-scrub/v/100ml,WISHFUL,Yo Glow Enzyme Scrub,RM180.00,"Skin Type: Combination, Dry, Normal, Oily","Dryness, Dullness, Uneven Skin Texture, Visible Pores",4.5
cleanser-and-exfoliator,https://www.sephora.my/products/clinique-clinique-for-men-face-wash-200ml,CLINIQUE,Clinique For Men Face Wash • 200ml,RM100.00,"Skin Type: Dry, Normal, Sensitive",,4
cleanser-and-exfoliator,https://www.sephora.my/products/clinique-clarifying-lotion-1-very-dry-to-dry-skin,CLINIQUE,Clarifying Lotion 1 - Very Dry To Dry Skin,RM100.00,"Skin Type: Combination, Dry, Normal, Oily, Sensitive","Dryness, Dullness, Fine Lines & Wrinkles, Oiliness",4.5
cleanser-and-exfoliator,https://www.sephora.my/products/gallinee-the-ideal-face-set,GALLINÉE,The Ideal Face Set,RM310.00,"Skin Type: Combination, Dry, Normal, Oily, Sensitive","Dryness, Dullness, Uneven Skin Tone",4.5
cleanser-and-exfoliator,https://www.sephora.my/products/sk-ii-men-moisturizing-cleanser,SK-II,MEN Moisturizing Cleanser,RM247.00,"Skin Type: Combination, Dry, Normal, Oily","Blackheads, Dryness, Oiliness, Visible Pores",4.5
cleanser-and-exfoliator,https://www.sephora.my/products/lab-series-pro-ls-all-in-one-cleansing-gel,LAB SERIES,Pro LS All-In-One Cleansing Gel • 150ml,RM80.00,"Skin Type: Combination, Dry, Normal, Oily, Sensitive",,4
cleanser-and-exfoliator,https://www.sephora.my/products/purposeful-skincare-by-allies-psa-reset-acai-and-manuka-honey-nourishing-cleanser,PURPOSEFUL SKINCARE BY ALLIES (PSA),Reset Acai & Manuka Honey Nourishing Cleanser • 100ml,RM133.00,"Skin Type: Combination, Dry, Normal, Oily, Sensitive"," Acne & Blemishes, Dryness, Dullness",5
cleanser-and-exfoliator,https://www.sephora.my/products/sephora-collection-bright-skin-exfoliating-scrub,SEPHORA COLLECTION,Bright Skin Exfoliating Scrub • 50ml,RM55.00,"Skin Type: Combination, Dry, Normal, Oily","Dryness, Dullness",3.5
cleanser-and-exfoliator,https://www.sephora.my/products/sephora-collection-face-konjac-sponge/v/purifying,SEPHORA COLLECTION,Face Konjac Sponge,RM46.00,"Skin Type: Combination, Dry, Normal, Oily","Dullness, Uneven Skin Texture, Visible Pores",4
cleanser-and-exfoliator,https://www.sephora.my/products/it-cosmetics-confidence-in-a-cleanser,SEPHORA EXCLUSIVE IT COSMETICS,Confidence In A Cleanser,RM135.00,"Skin Type: Combination, Dry, Normal, Oily, Sensitive",Dryness,4.5
cleanser-and-exfoliator,https://www.sephora.my/products/fresh-travel-essentials-minis-skincare-set-limited-edition,FRESH,Travel Essentials Minis Skincare Set (Limited Edition),RM217.00,"Skin Type: Combination, Dry, Normal, Oily",Dryness,0
cleanser-and-exfoliator,https://www.sephora.my/products/it-cosmetics-celebrate-confidence-in-your-skincare-anti-aging-skincare-set-limited-edition,IT COSMETICS,Celebrate Confidence In Your Skincare Anti-Aging Skincare Set (Limited Edition),RM240.00,"Skin Type: Combination, Dry, Normal, Oily, Sensitive","Ageing, Dryness, Dullness, Fine Lines & Wrinkles, Firmness & Elasticity, Visible Pores",0
cleanser-and-exfoliator,https://www.sephora.my/products/la-mer-the-cleansing-foam/v/30ml,LA MER,The Cleansing Foam,RM90.00,"Skin Type: Combination, Dry, Normal, Oily","Dullness, Oiliness, Uneven Skin Tone",5
cleanser-and-exfoliator,https://www.sephora.my/products/dior-capture-totale-cell-energy-high-performance-gentle-cleanser,DIOR,Capture Totale C.E.L.L. ENERGY High-Performance Gentle Cleanser • 150ml,RM188.00,"Skin Type: Combination, Dry, Normal, Oily","Dryness, Dullness",4.5
cleanser-and-exfoliator,https://www.sephora.my/products/clinique-clarifying-lotion-1-dot-0,CLINIQUE,Clarifying Lotion 1.0 - Dry And Sensitive Skin,RM100.00,"Skin Type: Combination, Dry, Normal, Oily, Sensitive","Dryness, Dullness, Oiliness",4
cleanser-and-exfoliator,https://www.sephora.my/products/glamglow-supercleanse-clearing-cream-to-foam-cleanser,GLAMGLOW,Supercleanse™ Clearing Cream-to-Foam Cleanser • 150g,RM135.00,"Skin Type: Combination, Dry, Normal, Oily","Oiliness, Uneven Skin Texture, Uneven Skin Tone, Visible Pores",4
cleanser-and-exfoliator,https://www.sephora.my/products/boscia-detoxifying-black-charcoal-cleanser,BOSCIA,Detoxifying Black Charcoal Cleanser • 150ml,RM145.00,"Skin Type: Combination, Dry, Normal, Oily, Sensitive","Dullness, Oiliness, Uneven Skin Texture, Uneven Skin Tone, Visible Pores",4.5
cleanser-and-exfoliator,https://www.sephora.my/products/caudalie-micellar-cleansing-water/v/200ml,CAUDALIE,Micellar Cleansing Water,RM99.00,"Skin Type: Combination, Dry, Normal, Oily",,4.5
cleanser-and-exfoliator,https://www.sephora.my/products/tarte-sea-deep-dive-makeup-removing-gel-cleanser/v/default,SEPHORA EXCLUSIVE TARTE,Sea Deep Dive Makeup Removing Gel Cleanser,RM115.00,"Skin Type: Combination, Dry, Normal, Oily, Sensitive",,4.5
cleanser-and-exfoliator,https://www.sephora.my/products/clinique-rinse-off-foaming-cleanser-150ml,CLINIQUE,Rinse-Off Foaming Cleanser,RM120.00,"Skin Type: Combination, Dry, Normal, Oily, Sensitive",Dryness,4.5
cleanser-and-exfoliator,https://www.sephora.my/products/dr-dot-jart-plus-dermaclear-micro-foam,DR.JART+,Dermaclear Micro Foam Cleanser,RM90.00,"Skin Type: Combination, Dry, Normal, Oily, Sensitive","Dryness, Dullness",4.5
cleanser-and-exfoliator,https://www.sephora.my/products/sephora-collection-mini-exfoliating-face-wipes,SEPHORA COLLECTION,Mini Exfoliating Face Wipes • 10 wipes,RM18.00,"Skin Type: Combination, Dry, Normal, Oily","Dryness, Uneven Skin Texture, Uneven Skin Tone",0
cleanser-and-exfoliator,https://www.sephora.my/products/drunk-elephant-slaai-makeup-melting-butter-cleanser,SEPHORA EXCLUSIVE DRUNK ELEPHANT,Slaai™ Makeup-Melting Butter Cleanser,RM148.00,"Skin Type: Combination, Dry, Normal, Oily, Sensitive","Dryness, Dullness, Uneven Skin Texture, Uneven Skin Tone",4
cleanser-and-exfoliator,https://www.sephora.my/products/pixi-peel-and-polish,PIXI,Peel & Polish,RM120.00,"Skin Type: Combination, Dry, Normal, Oily","Dullness, Uneven Skin Texture",4.5
cleanser-and-exfoliator,https://www.sephora.my/products/mario-badescu-glycolic-foaming-cleanser,MARIO BADESCU,Glycolic Foaming Cleanser,RM85.00,"Skin Type: Combination, Dry, Normal, Oily, Sensitive","Fine Lines & Wrinkles, Pigmentation & Dark Spots, Uneven Skin Texture",4
cleanser-and-exfoliator,https://www.sephora.my/products/glamglow-tropicalcleanse-daily-exfoliating-cleanser,GLAMGLOW,Tropicalcleanse™ Daily Exfoliating Cleanser,RM145.00,"Skin Type: Combination, Dry, Normal, Oily, Sensitive","Dullness, Uneven Skin Texture",4
cleanser-and-exfoliator,https://www.sephora.my/products/origins-modern-friction-cleansing-oil-with-radiance-boosting-white-and-purple-rice,ORIGINS,Modern Friction™ Cleansing Oil with Radiance-Boosting White & Purple Rice • 150ml,RM145.00,"Skin Type: Combination, Dry, Normal, Oily","Dullness, Uneven Skin Texture",4.5
